4.54872E+17,,2014,Designer Houses &amp; Plans Magazine Fall 2011,2343465943,
,,,,,
4.54872E+17,,2014,Long Life #Education,1704903284,WORD.  Indonesian
,,,,,
4.54872E+17,"[28.2094536, -25.7597196]",2014,"RT @The_real_Nomhle: After Years And Years Of Education, We Are Still Struggling In Front Of Glass Doors, Dont Know Whether To Pull Or Push",158014826,Tshwane Pretoria
,,,,,
4.54872E+17,,2014,Saw this about Minecraft and WW1 on @TV3nz news tonight. Justin loved it but I did wonder where the girls were,28522215,New Zealand
,,,,,
4.54872E+17,,2014,RT @timesofindia: IIT-Delhi shows cheap can be wonderful ,2284912056,delhi
,,,,,
4.54872E+17,"[28.14013, -26.18855]",2014,@ThePleadProject @Vinciquest_i61 @King_Fide @Lativa_Ent #SApleads9ja pleading 4 better education nd facilities in 9ja,2260512751,South Africa
,,,,,
4.54872E+17,,2014,"Kwara State College of Education Lecturers Protest Lingering Strike:
No fewer than 500 members of the Committee...",916899744,
,,,,,
4.54872E+17,,2014,RT @legalizedwords: Educating the mind without educating the heart is no education at all. - Aristotle,90728736,#Detroit
,,,,,
4.54872E+17,,2014,EDUCATION Never too old to stop learning |,1343292967,"Suva, Fiji."
,,,,,
4.54872E+17,,2014,RT @trengriffin: Over 30 yrs equity fund investors earned an average annual return of 3.69% vs. S&amp;P 500s 11.11%. Chasing performance!,65419562,
,,,,,
4.54872E+17,,2014,RT @DailyPlatoQuote: Socrates: The soul when on her progress to the world below takes nothing with her but nurture and education (Phaedo),2208341534,Get a life
,,,,,
4.54872E+17,,2014,"started to connect the dots that higher education was, like other information industries, ripe for disruptive innovatio",2424889916,
,,,,,
4.54872E+17,,2014,"Interview with Ann Gravells: A short video about Ann Gravells, author of text books for the Further Education ...",18939006,UK
,,,,,
4.54872E+17,,2014,"Dental Hygiene Instructor job in Birmingham, AL at Education Affiliates",90986684,US
,,,,,
4.54872E+17,,2014,Foottball or education?,275444261,Palembang-salatiga-yogyakarta
,,,,,
4.54872E+17,"[-112.11952666, 33.84556131]",2014,Of course education is key @shemararae @Rickmayhem @OfWolfAndRaven @littlebytesnews,195559031,Phoenix
,,,,,
4.54872E+17,,2014,Parents 'asked for text book cash',169028006,West Yorkshire
,,,,,
4.54872E+17,,2014,The Fetish Room: The Education of a Naturalist,2340991178,
