positive,"a triumph , relentless and beautiful in its downbeat darkness ."
positive,tailored to entertain !
positive,a vivid cinematic portrait .
positive,"hilarious , touching and wonderfully dyspeptic ."
positive,"a smart , witty follow-up ."
positive,"while the ideas about techno-saturation are far from novel , they're presented with a wry dark humor ."
positive,an infectious cultural fable with a tasty balance of family drama and frenetic comedy .
positive,"although occasionally static to the point of resembling a stage play , the film delivers a solid mixture of sweetness and laughs ."
positive,it provides an honest look at a community striving to anchor itself in new grounds .
positive,"add yet another hat to a talented head , clooney's a good director ."
positive,"building slowly and subtly , the film , sporting a breezy spontaneity and realistically drawn characterizations , develops into a significant character study that is both moving and wise ."
positive,"ultimately feels empty and unsatisfying , like swallowing a communion wafer without the wine ."
positive,"chilling , well-acted , and finely directed : david jacobson's dahmer ."
positive,"a swashbuckling tale of love , betrayal , revenge and above all , faith ."
positive,. . . a true delight .
positive,for the most part stevens glides through on some solid performances and witty dialogue .
positive,broomfield turns his distinctive 'blundering' style into something that could really help clear up the case .
positive,"against all odds in heaven and hell , it creeped me out just fine ."
positive,it's refreshing to see a girl-power movie that doesn't feel it has to prove anything .
positive,"it's worth seeing just on the basis of the wisdom , and at times , the startling optimism , of the children ."
positive,a rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love .
positive,this surreal gilliam-esque film is also a troubling interpretation of ecclesiastes . a rewarding work of art for only the most patient and challenge-hungry moviegoers .
positive,a quiet treasure -- a film to be savored .
positive,"may be far from the best of the series , but it's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation ."
positive,a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession .
positive,huston nails both the glad-handing and the choking sense of hollow despair .
positive,"may not have generated many sparks , but with his affection for astoria and its people he has given his tale a warm glow ."
positive,a delirious celebration of the female orgasm .
positive,"exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling ."
positive,it's fascinating to see how bettany and mcdowell play off each other .
positive,"the film is beautifully mounted , but , more to the point , the issues are subtly presented , managing to walk a fine line with regard to the question of joan's madness ."
positive,leigh's film is full of memorable performances from top to bottom .
positive,one of the most significant moviegoing pleasures of the year .
positive,"jose campanella delivers a loosely autobiographical story brushed with sentimentality but brimming with gentle humor , bittersweet pathos , and lyric moments that linger like snapshots of memory ."
positive,"generally , clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler , while happily killing 94 minutes ."
positive,the movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that's all too rare in hollywood's hastier productions .
positive,"ao sair do cinema , eu estava feliz e com saudades de um tempo em que , para mim , a existência de papai noel era um fato inquestion_vel ."
positive,"neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula ."
positive,"it's a much more emotional journey than what shyamalan has given us in his past two movies , and gibson , stepping in for bruce willis , is the perfect actor to take us on the trip ."
positive,"not only are the special effects and narrative flow much improved , and daniel radcliffe more emotionally assertive this time around as harry , but the film conjures the magic of author j . k . rowling's books ."
positive,jaglom . . . put[s] the audience in the privileged position of eavesdropping on his characters
